1.14579E+18,2019-07-01 20:34,"The #CarbonTax explained

""if they reduce ah you know to eh ah oh on top of having money ah to to you know to support to ah you know the things they wanna spend money they have an opportunity to buy save money""

yeah ok @cathmckenna the #ClimateBarbie! 

https://t.co/qsjHZakVk3","Alberta, Canada"
1.14579E+18,2019-07-01 20:23,"The #ClimateBarbie @cathmckenna, Environment Minister for all Canadians, ""has no time"" for the Canadians who don't support her Liberal Party #CarbonTax 

https://t.co/SASs5gs1wh","Alberta, Canada"
1.14578E+18,2019-07-01 20:00,We respect #ClimateChange science and support replacing regulations with a revenue-neutral #CarbonTax--a policy that would efficiently protect the environment and grow the economy. Learn more: https://t.co/DCFkUmFgEb,"Washington, DC"
1.14576E+18,2019-07-01 18:43,"The #CarbonTax Works For Billionaires: The Climate ""Karma Tax"" Works for the Rest of Us #ClimateChangeIsReal Wealth hoarding capitalism is sending us straight into an existential crisis.  What to do: https://t.co/f2uVmuNpJD via @impakterdotcom https://t.co/FoUrxYIA9Y",Italy
1.14576E+18,2019-07-01 18:36,"Carbon taxes are about govt control &amp; this new study only confirms what we've always known--that the lives of our kids &amp; grandkids will be impoverished, not improved. Instead, let's allow more free market innovations, which are the real sources of enviro improvement. #CarbonTax https://t.co/vr3TFlzVRW","Austin, Texas"
1.14576E+18,2019-07-01 18:36,"""Carbon taxes won't help the environment; they'll only increase the cost of electricity and fuel--which means increasing the cost of everything we do,"" says TPPF's Jason @ISAACforTexas. @Life_Powered_ #carbontax https://t.co/HHjc5WJBUz","Austin, Texas"
1.14576E+18,2019-07-01 18:36,"A #CarbonTax would severely affect our children &amp; grandchildren. Carbon taxes are all about the taxes, not about the carbon. https://t.co/06uo5bQhIO","Austin, Texas"
1.14576E+18,2019-07-01 18:17,Goodale reacts to Supreme Court hearing of Sask. government's carbon tax appeal. #carbontax #cdnpoli https://t.co/UgNCeL5DvK,"Regina, SK"
1.14576E+18,2019-07-01 18:11,"#CarbonTax and a #GreenNewDeal won't fix this, nothing can. We are not being prepared. What use are politicians if they fail to do what is right for the people who put their trust in them?
The next cycle is COLD.
#GrandSolarMinimum https://t.co/9j6IJBb7qs",Grounded
1.14575E+18,2019-07-01 18:01,"@CanadaUN @CanadianPM @UAEMissionToUN @Denmark_UN @courtenayrat @PalauOceans @AOSISChair @Ethiopia_UN @UNDPClimate @UNDP @UNFCCC Our PM is building a #pipeline in last decade to cap warming@ 1.5C, plans to increase emissions instead of reducing them in half by 2030 as warned by #IPCC. He exempts big polluters from the #carbontax &amp; impact assessments, so they can stay 'competitive', won't end FF subsidies.. https://t.co/UXdz6rQ3C8",3rd Rock from the Sun
1.14575E+18,2019-07-01 17:40,"Do you know the size of your Carbon footprint? I just took an online test...... mine is enormous! Guess the biggest carbon emitter? MY CAR  
Flights were minuscule compared to my houses and car [?][?][?] #carbonfootprint #CarbonTax #giveback #carbonoffset https://t.co/Avnvs79CCV",UK and South of France
