Id,Timestamp,Tweet,Location ,Polarity
1.15E+18,2019-07-08 18:25,"@Chris_Hall_77 @CrazyLikeMoose @AndrewScheer It was happening since 4.5 Billion years (ice age) and it will happen, this is how Mother Nature acts! How my carbon tax is helping to stop it?? Yes, taxes will stop every investment in Canada!! That's what happened in last four years.",Canada,1
1.15E+18,2019-07-08 18:26,@AOC Raising gas to $240 per gallon would work. Do that. https://t.co/MPJkWLsebI,"Manhattan, NY",0
1.15E+18,2019-07-08 18:26,@cathmckenna Climate Barbi I know you do much more like give away Canadian tax dollars to foreign countries so they don't have to impose a carbon tax,,-1
1.15E+18,2019-07-08 18:27,"@cathmckenna Lol,
Heard the news today?
Thats right the Quebec Provincial government is joining the fight against your UN inspired carbon tax scam!
Lol, lol, lol........
You are so done now! https://t.co/A67NJzmbDe",Canada,-1
1.15E+18,2019-07-08 18:28,"To claim that Quebec is joining the fight against the carbon tax is misleading; they aren't really. They're involving themselves in the discussion to make sure that they maintain jurisdictional autonomy over their own system, however the ruling goes.","An Armchair, Being Holier Than Thou (Allegedly)",-1
1.15E+18,2019-07-08 18:28,"To be clear - Quebec is only registered as an intervener to make sure that it maintains control over its own carbon tax, while PEI's PCs are registered as interveners so that they have a voice in the proceedings in order to support the carbon tax.

#ABpoli #ABleg https://t.co/6rRJs11Hct","An Armchair, Being Holier Than Thou (Allegedly)",0
1.15E+18,2019-07-08 18:28,"P.E.I., Quebec intervene in Saskatchewan's legal challenge of carbon tax https://t.co/Y6eUBxyIpV #cdnpoli",Ottawa,0
1.15E+18,2019-07-08 18:28,"Trudeau is going to impose a secret fuel tax above and beyond the carbon tax. Canadians will be paying two new taxes on fuel. Not only will this make gas more expensive than it already is, it will drive investment and business out of Canada. We will scrap this new tax. https://t.co/ufflPk0zjY","Ottawa, Ontario",-1
1.15E+18,2019-07-08 18:28,"The carbon tax. 

It's caused the cost of buns, weiners, condiments, charcoal briquettes and wet naps to skyrocket. 

There was an article about it in The Sun. Several actually.","Terahnah, ON",0
1.15E+18,2019-07-08 18:28,@SaskParty Why is everyone complaining about the carbon tax? I have noticed no difference in the cost of anything plus we got a rebate. I think all these governments are using this to keep their followers upset and for political purposes only &amp; also to protect the big polluters. #skpoli,,0
